Feature,../../data/brains/away_from_mni.nii.gz
surface,0.0239
surprisingly,-0.0412
surrounding,0.0005
susceptibility,-0.0095
sustained,-0.0422
sustained attention,0.0074
switch,-0.0899
switching,-0.0867
symbolic,-0.058
symptom,-0.0161
symptom severity,-0.043
symptoms,-0.0473
synchronization,0.0577
syndrome,0.0195
syntactic,0.1479
systematic,0.005
systematically,-0.0106
systems,0.036
systems involved,0.0286
t1,0.0335
t1 weighted,0.0388
tactile,0.0488
taken,0.0196
taken suggest,0.0218
taking,-0.0266
tapping,0.045
target,-0.0483
target detection,0.0175
targeted,0.0245
targets,-0.0744
task,-0.083
task conditions,-0.0286
task demands,0.0255
task difficulty,-0.0448
task functional,-0.0364
task induced,0.0001
task involving,-0.0369
task irrelevant,-0.0212
task performance,-0.077
task positive,-0.0279
task relevant,-0.0183
task required,-0.0262
task task,-0.0226
task using,0.0453
tasks,-0.0201
taste,0.0069
td,0.0062
technique,0.0247
techniques,0.0205
tegmental,0.0009
temporal,0.1383
temporal cortex,0.0885
temporal cortices,0.0386
temporal frontal,0.0648
temporal gyri,0.1038
temporal gyrus,0.1714
temporal inferior,0.0447
temporal lobe,0.0344
temporal lobes,0.0403
temporal occipital,0.0009
temporal parietal,0.0032
temporal pole,0.0817
temporal sulcus,0.1275
temporale,0.1324
temporally,0.0162
temporo,0.0351
temporo parietal,0.0278
temporoparietal,-0.0202
temporoparietal junction,-0.0183
tend,-0.0114
tendency,-0.0727
tensor,0.0263
tensor dti,0.0081
term,-0.0038
term memory,-0.0055
terms,0.0328
tesla,0.0047
test,-0.0825
tested,-0.0243
testing,0.0281
tests,0.0276
thalamic,-0.0338
thalamus,0.0088
theoretical,0.0309
theories,-0.0089
theory,0.0297
theory mind,0.0491
therapeutic,-0.0007
therapy,-0.001
thickness,0.0091
thinking,-0.0041
thirteen,-0.0134
thirty,-0.0235
thought,-0.0215
thoughts,-0.0526
threat,-0.029
threatening,0.0063
threshold,0.0457
time,-0.0051
time course,0.0415
time courses,0.0239
time points,-0.0132
time series,0.0014
time task,-0.0051
times,-0.0665
timing,0.0682
tissue,0.0229
tms,0.0717
tom,0.0463
tomography,-0.022
tomography pet,0.0042
tone,0.0639
tones,0.1017
took,-0.0438
tool,-0.0122
tools,0.012
total,-0.008
touch,0.0392
tpj,-0.0315
track,0.0023
tracking,-0.0109
tract,0.0322
tractography,0.053
tracts,0.0245
traditional,0.0499
traditionally,0.0332
trained,0.0015
training,0.0682
trait,-0.035
traits,-0.0072
trajectories,-0.0126
transcranial,0.0485
transcranial magnetic,0.0565
transfer,-0.0021
transformation,0.0133
transient,-0.0603
transition,-0.0465
trauma,-0.0354
traumatic,-0.0563
treated,-0.0326
treatment,-0.0202
treatments,-0.0036
trend,-0.0311
trial,-0.1018
trial trial,-0.0619
trials,-0.1087
trigger,-0.0215
triggered,0.0044
true,-0.0182
turn,-0.007
twice,0.0171
type,-0.0311
types,0.0288
typical,-0.0173
typically,-0.0105
typically developing,0.0126
unaffected,0.0096
uncertain,-0.0262
uncertainty,-0.0661
unclear,-0.0324
undergoing,-0.0315
undergoing functional,-0.0158
underlie,-0.0556
underlies,-0.0105
underlying,-0.0293
underlying mechanisms,-0.0278
underpinning,-0.0459
underpinnings,-0.0518
understand,-0.0093
understanding,0.0197
understood,-0.0159
unexpected,0.0109
unfamiliar,-0.0136
unilateral,0.0631
unimodal,0.0715
unique,0.0014
uniquely,0.0232
univariate,0.0206
unknown,-0.0007
unlike,0.0213
unmedicated,-0.0467
unpleasant,0.0494
unrelated,0.0082
upcoming,-0.0447
updating,-0.0585
upper,0.0623
use,-0.0351
use functional,0.0476
useful,0.0043
users,-0.0431
uses,-0.0055
using,0.0353
using event,-0.0035
using functional,0.0482
using resting,-0.0281
using voxel,-0.0009
usually,0.0253
utility,-0.0008
utilized,0.019
v1,-0.0204
v5,-0.0016
valence,0.026
valid,-0.0509
validated,0.0233
validity,-0.0211
valuable,-0.0137
value,-0.0514
values,-0.0374
variability,0.0455
variable,0.0533
variables,-0.0212
variance,-0.0018
variant,-0.0136
variation,-0.0242
variations,0.0142
varied,-0.0086
varies,0.0023
variety,-0.0045
various,-0.0315
vary,0.0147
varying,0.019
vbm,-0.0036
vector,-0.0322
ventral,-0.0338
ventral anterior,0.0019
ventral dorsal,-0.0373
ventral medial,-0.0461
ventral premotor,0.0707
ventral striatum,-0.0489
ventral tegmental,0.003
ventral visual,-0.0351
ventrolateral,-0.0224
ventrolateral prefrontal,-0.0443
ventromedial,-0.0571
ventromedial prefrontal,-0.061
verb,0.0873
verbal,0.0358
verbal fluency,0.0243
verbal working,0.0032
verbs,0.1025
vermis,0.0131
version,-0.0172
versus,-0.0362
vi,0.0146
video,0.0027
video clips,-0.0209
videos,0.0079
view,0.0017
viewed,-0.018
viewing,-0.0218
violations,0.0295
virtual,-0.1343
vision,-0.052
visual,-0.0568
visual attention,-0.0792
visual auditory,0.0775
visual cortex,-0.0347
visual cortices,-0.0132
visual field,-0.0526
visual information,-0.0199
visual motion,-0.0216
visual perception,-0.0089
visual stimuli,-0.0524
visual stimulus,-0.0206
visual stream,-0.0118
visual word,0.0147
visually,0.0057
visually presented,0.0464
visuo,-0.0783
visuo spatial,-0.0979
visuomotor,-0.0273
visuospatial,-0.0687
vivo,0.0023
vlpfc,0.0014
vmpfc,-0.0659
vocal,0.1592
voice,0.1358
volume,-0.0112
volumes,-0.0164
volumetric,-0.0253
voluntary,0.0064
volunteers,0.0435
voxel,0.0086
voxel morphometry,0.0019
voxel wise,0.0008
voxels,0.017
voxelwise,-0.0452
vs,-0.0291
vulnerability,-0.0309
watched,0.0087
watching,0.0127
way,-0.0265
ways,0.0002
weak,-0.0078
weaker,-0.0083
week,0.0141
weeks,-0.0224
weight,-0.0527
weighted,0.0206
whilst,0.01
white,-0.0021
white matter,-0.0048
wide,-0.0444
widely,-0.0195
widespread,-0.0213
wiley,-0.0189
wiley periodicals,-0.0187
window,0.0375
wise,0.0127
wm,-0.0701
wm task,-0.0415
women,-0.0055
word,0.0874
word form,0.0384
word pairs,-0.0227
word recognition,0.041
words,0.1183
work,-0.0011
working,-0.0888
working memory,-0.0876
world,-0.0449
worse,-0.0531
written,0.074
year,-0.018
year old,-0.0142
years,0.0098
years old,0.0035
yield,0.0128
yielded,0.0368
young,-0.0562
young adults,-0.0553
young healthy,0.0068
young older,-0.0258
younger,-0.0608
younger adults,-0.0507
youth,-0.0406
zone,0.0307
