Feature,../../data/brains/braindiff_d_mni.nii.gz
target detection,-0.001
targeted,0.0256
targets,-0.0309
task,-0.0762
task conditions,-0.0371
task demands,-0.0303
task difficulty,-0.0537
task functional,0.0186
task induced,0.07
task involving,0.0015
task irrelevant,-0.0635
task performance,-0.051
task positive,0.0384
task relevant,-0.0523
task required,-0.0059
task task,-0.0576
task using,-0.0654
tasks,-0.1038
taste,-0.0456
td,-0.0103
technique,0.0229
techniques,-0.0096
tegmental,-0.0094
temporal,0.0251
temporal cortex,-0.0393
temporal cortices,0.0113
temporal frontal,-0.0239
temporal gyri,0.0166
temporal gyrus,0.0227
temporal inferior,-0.0198
temporal lobe,0.0094
temporal lobes,0.0102
temporal occipital,-0.0236
temporal parietal,0.0453
temporal pole,0.0089
temporal sulcus,0.0508
temporale,-0.0002
temporally,0.0449
temporo,0.1018
temporo parietal,0.1277
temporoparietal,0.1576
temporoparietal junction,0.1558
tend,0.0095
tendency,0.0528
tensor,0.0144
tensor dti,0.0167
term,-0.0503
term memory,-0.0761
terms,0.0171
tesla,0.0089
test,-0.0165
tested,-0.0354
testing,0.0213
tests,-0.0039
thalamic,0.055
thalamus,0.0081
theoretical,-0.0128
theories,-0.0062
theory,0.1517
theory mind,0.1768
therapeutic,0.0013
therapy,0.0016
thickness,0.0402
thinking,0.0967
thirteen,0.0026
thirty,0.0547
thought,0.0392
thoughts,0.1297
threat,0.012
threatening,0.0275
threshold,-0.0333
time,0.0267
time course,0.0034
time courses,0.0223
time points,0.0117
time series,0.0306
time task,-0.0053
times,-0.0375
timing,-0.0311
tissue,-0.0046
tms,-0.0494
tom,0.1596
tomography,0.031
tomography pet,-0.0281
tone,-0.0034
tones,-0.0057
took,0.0316
tool,0.0013
tools,-0.039
total,0.0163
touch,-0.0675
tpj,0.1477
track,0.018
tracking,-0.0375
tract,-0.0049
tractography,-0.0182
tracts,0.0075
traditional,-0.0133
traditionally,-0.0081
trained,-0.0446
training,-0.0387
trait,0.0846
traits,0.0619
trajectories,0.0075
transcranial,-0.0391
transcranial magnetic,-0.0457
transfer,-0.0093
transformation,-0.0323
transient,-0.0041
transition,0.0202
trauma,0.0493
traumatic,0.0461
treated,0.0007
treatment,0.0603
treatments,0.0061
trend,0.0553
trial,0.0293
trial trial,0.0391
trials,-0.0016
trigger,-0.0081
triggered,-0.0304
true,0.0351
turn,0.0125
twice,-0.0082
type,0.0171
types,0.0043
typical,0.0054
typically,0.0268
typically developing,0.016
unaffected,0.0441
uncertain,-0.0056
uncertainty,0.0381
unclear,0.0253
undergoing,0.0261
undergoing functional,0.0181
underlie,0.0164
underlies,0.015
underlying,0.0658
underlying mechanisms,0.0141
underpinning,-0.0038
underpinnings,0.0635
understand,0.0501
understanding,0.0739
understood,0.028
unexpected,0.0164
unfamiliar,-0.0277
unilateral,-0.0151
unimodal,-0.0181
unique,-0.0012
uniquely,0.0056
univariate,0.0018
unknown,0.0167
unlike,-0.0127
unmedicated,0.0139
unpleasant,-0.0304
unrelated,0.0213
upcoming,-0.0183
updating,-0.0176
upper,-0.0371
use,0.043
use functional,-0.0269
useful,0.0453
users,0.0407
uses,0.0013
using,0.0164
using event,-0.025
using functional,-0.0749
using resting,0.0932
using voxel,0.0082
usually,-0.0463
utility,0.045
utilized,-0.0118
v1,-0.0372
v5,-0.0647
valence,0.0183
valid,0.0469
validated,0.0401
validity,0.0064
valuable,0.0349
value,0.0413
values,0.0621
variability,0.0185
variable,-0.0062
variables,0.0398
variance,0.0203
variant,-0.0191
variation,0.0134
variations,0.0028
varied,-0.0071
varies,-0.0019
variety,-0.0032
various,0.0152
vary,0.0035
varying,-0.0221
vbm,0.0195
vector,0.0056
ventral,-0.0513
ventral anterior,0.0433
ventral dorsal,-0.0458
ventral medial,0.0747
ventral premotor,-0.0934
ventral striatum,0.0326
ventral tegmental,-0.0096
ventral visual,-0.0794
ventrolateral,-0.0548
ventrolateral prefrontal,-0.0287
ventromedial,0.0825
ventromedial prefrontal,0.0835
verb,-0.0218
verbal,-0.0634
verbal fluency,-0.0224
verbal working,-0.0486
verbs,-0.0223
vermis,0.0024
version,-0.0298
versus,-0.0117
vi,-0.011
video,0.0056
video clips,0.0098
videos,0.0132
view,-0.0141
viewed,-0.0169
viewing,-0.0299
violations,0.0452
virtual,0.0023
vision,-0.0431
visual,-0.0905
visual attention,-0.003
visual auditory,-0.0311
visual cortex,-0.0562
visual cortices,-0.0398
visual field,-0.0254
visual information,-0.0434
visual motion,-0.0576
visual perception,-0.0194
visual stimuli,-0.0501
visual stimulus,0.0033
visual stream,-0.0594
visual word,-0.0722
visually,-0.0719
visually presented,-0.0841
visuo,-0.0448
visuo spatial,-0.0141
visuomotor,-0.0297
visuospatial,-0.0517
vivo,0.0207
vlpfc,0.015
vmpfc,0.0822
vocal,-0.006
voice,0.0333
volume,0.042
volumes,0.0399
volumetric,0.0265
voluntary,0.0277
volunteers,-0.0641
voxel,0.0338
voxel morphometry,0.026
voxel wise,0.0374
voxels,-0.0082
voxelwise,0.0274
vs,0.0062
vulnerability,0.0425
watched,-0.0226
watching,0.0053
way,0.0223
ways,0.0493
weak,0.0201
weaker,0.0738
week,0.0162
weeks,0.0043
weight,0.0385
weighted,-0.0094
whilst,-0.047
white,0.024
white matter,0.0291
wide,0.0049
widely,0.0123
widespread,0.0097
wiley,0.0177
wiley periodicals,0.0172
window,-0.0017
wise,0.034
wm,-0.0633
wm task,-0.0449
women,0.0088
word,-0.0578
word form,-0.0747
word pairs,0.0318
word recognition,-0.0367
words,-0.0646
work,0.0417
working,-0.0879
working memory,-0.0904
world,0.076
worse,0.0699
written,-0.0442
year,0.0066
year old,0.0138
years,0.0052
years old,0.0561
yield,-0.028
yielded,-0.03
young,0.0345
young adults,0.0339
young healthy,-0.0306
young older,0.0064
younger,0.0252
younger adults,0.0137
youth,0.0085
zone,-0.0031
