Feature,../../data/brains/del_imm_mni.nii.gz
task difficulty,-0.0111
task functional,0.0451
task induced,0.0096
task involving,0.0009
task irrelevant,-0.0508
task performance,-0.0358
task positive,0.0569
task relevant,-0.0586
task required,-0.0056
task task,-0.0534
task using,-0.0389
tasks,-0.0919
taste,0.0082
td,0.0017
technique,-0.0272
techniques,-0.0019
tegmental,0.0486
temporal,0.0926
temporal cortex,0.0306
temporal cortices,0.047
temporal frontal,0.0006
temporal gyri,0.0436
temporal gyrus,0.0409
temporal inferior,0.0309
temporal lobe,0.1375
temporal lobes,0.0599
temporal occipital,-0.0052
temporal parietal,0.0807
temporal pole,0.0195
temporal sulcus,0.0477
temporale,-0.0312
temporally,-0.0054
temporo,0.0925
temporo parietal,0.1186
temporoparietal,0.1163
temporoparietal junction,0.122
tend,0.0392
tendency,0.0811
tensor,0.0719
tensor dti,0.0601
term,0.0028
term memory,-0.0179
terms,0.0093
tesla,-0.018
test,0.0433
tested,-0.0284
testing,0.0331
tests,0.044
thalamic,0.0352
thalamus,-0.0086
theoretical,0.0017
theories,0.0301
theory,0.1374
theory mind,0.1713
therapeutic,0.0122
therapy,-0.0277
thickness,0.0191
thinking,0.1407
thirteen,-0.0357
thirty,0.0539
thought,0.0883
thoughts,0.1389
threat,0.0475
threatening,0.0495
threshold,-0.0299
time,-0.0215
time course,-0.0545
time courses,-0.0602
time points,0.0179
time series,0.024
time task,-0.0589
times,-0.0554
timing,-0.0747
tissue,0.0482
tms,-0.1223
tom,0.1439
tomography,0.024
tomography pet,-0.009
tone,0.0052
tones,-0.0316
took,0.0629
tool,-0.0786
tools,-0.1005
total,0.0258
touch,-0.2176
tpj,0.1219
track,0.0183
tracking,-0.1033
tract,0.008
tractography,0.0123
tracts,0.036
traditional,-0.0453
traditionally,-0.0388
trained,-0.0793
training,-0.1111
trait,0.1023
traits,0.0791
trajectories,-0.0411
transcranial,-0.1129
transcranial magnetic,-0.1266
transfer,-0.0419
transformation,-0.1122
transient,-0.0075
transition,0.0544
trauma,0.048
traumatic,0.0423
treated,0.0553
treatment,0.09
treatments,0.0335
trend,0.0484
trial,-0.0019
trial trial,0.0048
trials,0.0069
trigger,-0.0232
triggered,-0.1022
true,0.0597
turn,0.0084
twice,-0.0346
type,0.0025
types,-0.012
typical,0.0243
typically,0.0501
typically developing,-0.0098
unaffected,0.0492
uncertain,-0.0044
uncertainty,0.0554
unclear,0.0596
undergoing,0.0633
undergoing functional,0.0415
underlie,0.0895
underlies,0.0147
underlying,0.0547
underlying mechanisms,-0.006
underpinning,0.0565
underpinnings,0.0991
understand,0.0054
understanding,0.042
understood,0.0157
unexpected,-0.0152
unfamiliar,0.024
unilateral,-0.082
unimodal,-0.0431
unique,0.0088
uniquely,-0.0136
univariate,0.0276
unknown,0.0222
unlike,0.0199
unmedicated,0.0466
unpleasant,0.0188
unrelated,0.0365
upcoming,-0.0818
updating,0.0371
upper,-0.1344
use,0.029
use functional,-0.0416
useful,0.0277
users,0.051
uses,0.0045
using,-0.0026
using event,-0.02
using functional,-0.1037
using resting,0.0912
using voxel,0.0327
usually,-0.0553
utility,0.043
utilized,0.0211
v1,-0.066
v5,-0.1473
valence,0.1115
valid,0.047
validated,0.0413
validity,0.0103
valuable,-0.0108
value,0.0949
values,0.0655
variability,0.0029
variable,-0.0434
variables,0.036
variance,0.0021
variant,0.0173
variation,0.0833
variations,0.0038
varied,-0.012
varies,-0.0327
variety,0.0073
various,0.0052
vary,0.0262
varying,-0.0122
vbm,0.0633
vector,0.0213
ventral,-0.0386
ventral anterior,0.0254
ventral dorsal,-0.0171
ventral medial,0.0906
ventral premotor,-0.2201
ventral striatum,0.0711
ventral tegmental,0.0418
ventral visual,-0.0491
ventrolateral,0.0203
ventrolateral prefrontal,0.0446
ventromedial,0.1502
ventromedial prefrontal,0.1402
verb,0.0228
verbal,0.0276
verbal fluency,0.0126
verbal working,-0.0042
verbs,0.0118
vermis,-0.0085
version,0.0292
versus,0.0255
vi,0.0003
video,-0.0893
video clips,-0.0641
videos,-0.0424
view,-0.0279
viewed,-0.0334
viewing,-0.0366
violations,0.0368
virtual,0.0588
vision,-0.1166
visual,-0.1509
visual attention,-0.0721
visual auditory,-0.0413
visual cortex,-0.0977
visual cortices,-0.0805
visual field,-0.1161
visual information,-0.093
visual motion,-0.098
visual perception,-0.0968
visual stimuli,-0.0654
visual stimulus,-0.048
visual stream,-0.0706
visual word,-0.0314
visually,-0.1704
visually presented,-0.0682
visuo,-0.0796
visuo spatial,0.0018
visuomotor,-0.1526
visuospatial,-0.0836
vivo,0.0489
vlpfc,0.0654
vmpfc,0.1269
vocal,-0.0604
voice,0.0458
volume,0.0909
volumes,0.0778
volumetric,0.0813
voluntary,-0.1049
volunteers,-0.1061
voxel,0.0651
voxel morphometry,0.057
voxel wise,0.0224
voxels,-0.024
voxelwise,0.028
vs,0.0285
vulnerability,0.1023
watched,-0.0574
watching,-0.036
way,0.0173
ways,0.0538
weak,0.0133
weaker,0.0641
week,-0.0014
weeks,0.0026
weight,0.0576
weighted,0.0102
whilst,-0.0224
white,0.0701
white matter,0.076
wide,-0.0625
widely,0.0032
widespread,0.0088
wiley,-0.0111
wiley periodicals,-0.0174
window,-0.0198
wise,0.0287
wm,-0.0044
wm task,-0.0256
women,0.056
word,0.016
word form,-0.0326
word pairs,0.0921
word recognition,0.0118
words,0.0295
work,0.0652
working,-0.0169
working memory,-0.0201
world,0.1112
worse,0.0871
written,-0.0133
year,0.065
year old,0.044
years,0.0593
years old,0.0637
yield,0.0083
yielded,-0.057
young,0.1246
young adults,0.0902
young healthy,-0.0226
young older,0.0417
younger,0.0612
younger adults,0.0588
youth,0.0534
zone,-0.0357
