Feature,../../data/brains/braindiff_i_mni.nii.gz
target detection,-0.0019
targeted,0.0285
targets,-0.0352
task,-0.0837
task conditions,-0.0401
task demands,-0.0317
task difficulty,-0.0577
task functional,0.0187
task induced,0.0733
task involving,-0.0011
task irrelevant,-0.0676
task performance,-0.0556
task positive,0.0404
task relevant,-0.0572
task required,-0.0084
task task,-0.0597
task using,-0.0663
tasks,-0.1106
taste,-0.0446
td,-0.0095
technique,0.0263
techniques,-0.0079
tegmental,-0.0074
temporal,0.03
temporal cortex,-0.0386
temporal cortices,0.0134
temporal frontal,-0.0228
temporal gyri,0.0203
temporal gyrus,0.029
temporal inferior,-0.0194
temporal lobe,0.0133
temporal lobes,0.013
temporal occipital,-0.025
temporal parietal,0.0471
temporal pole,0.0147
temporal sulcus,0.0539
temporale,0.0028
temporally,0.046
temporo,0.1046
temporo parietal,0.1315
temporoparietal,0.1605
temporoparietal junction,0.1588
tend,0.0104
tendency,0.0522
tensor,0.0185
tensor dti,0.0196
term,-0.0527
term memory,-0.0804
terms,0.0172
tesla,0.0109
test,-0.0189
tested,-0.0373
testing,0.0239
tests,-0.0013
thalamic,0.0562
thalamus,0.0104
theoretical,-0.0112
theories,-0.0082
theory,0.1583
theory mind,0.1849
therapeutic,0.0032
therapy,0.0024
thickness,0.0426
thinking,0.1012
thirteen,0.0017
thirty,0.0567
thought,0.0403
thoughts,0.1324
threat,0.0125
threatening,0.028
threshold,-0.0313
time,0.0286
time course,0.0049
time courses,0.0232
time points,0.0127
time series,0.0327
time task,-0.0056
times,-0.0415
timing,-0.0301
tissue,-0.0021
tms,-0.0495
tom,0.1665
tomography,0.0329
tomography pet,-0.0277
tone,-0.0018
tones,-0.0029
took,0.0306
tool,-0.0014
tools,-0.0424
total,0.0183
touch,-0.0693
tpj,0.15
track,0.0188
tracking,-0.0397
tract,-0.0015
tractography,-0.0155
tracts,0.0104
traditional,-0.0121
traditionally,-0.0072
trained,-0.0467
training,-0.0375
trait,0.0883
traits,0.0654
trajectories,0.0075
transcranial,-0.0394
transcranial magnetic,-0.0462
transfer,-0.009
transformation,-0.0338
transient,-0.0074
transition,0.0193
trauma,0.0511
traumatic,0.0454
treated,0.0013
treatment,0.0648
treatments,0.0082
trend,0.0569
trial,0.0247
trial trial,0.0375
trials,-0.0076
trigger,-0.0098
triggered,-0.0331
true,0.0351
turn,0.0121
twice,-0.0076
type,0.0147
types,0.0026
typical,0.0056
typically,0.0274
typically developing,0.0172
unaffected,0.0466
uncertain,-0.0074
uncertainty,0.0371
unclear,0.0245
undergoing,0.0259
undergoing functional,0.0183
underlie,0.016
underlies,0.0143
underlying,0.0659
underlying mechanisms,0.0135
underpinning,-0.0067
underpinnings,0.0644
understand,0.0525
understanding,0.0784
understood,0.0278
unexpected,0.0157
unfamiliar,-0.0299
unilateral,-0.0125
unimodal,-0.0173
unique,-0.0016
uniquely,0.0062
univariate,0.0025
unknown,0.0178
unlike,-0.0128
unmedicated,0.0133
unpleasant,-0.0279
unrelated,0.0224
upcoming,-0.022
updating,-0.0209
upper,-0.0363
use,0.0425
use functional,-0.0259
useful,0.0473
users,0.0407
uses,0.0015
using,0.0184
using event,-0.0275
using functional,-0.0761
using resting,0.0977
using voxel,0.0102
usually,-0.0464
utility,0.0477
utilized,-0.0107
v1,-0.0413
v5,-0.0681
valence,0.0221
valid,0.045
validated,0.0437
validity,0.005
valuable,0.0349
value,0.0429
values,0.0653
variability,0.0215
variable,-0.0039
variables,0.0412
variance,0.0217
variant,-0.0196
variation,0.0145
variations,0.0035
varied,-0.0086
varies,-0.0019
variety,-0.003
various,0.0137
vary,0.004
varying,-0.0231
vbm,0.0222
vector,0.005
ventral,-0.0542
ventral anterior,0.0463
ventral dorsal,-0.0496
ventral medial,0.0773
ventral premotor,-0.0956
ventral striatum,0.0338
ventral tegmental,-0.0076
ventral visual,-0.0845
ventrolateral,-0.0585
ventrolateral prefrontal,-0.0324
ventromedial,0.0858
ventromedial prefrontal,0.0865
verb,-0.0212
verbal,-0.065
verbal fluency,-0.0223
verbal working,-0.0508
verbs,-0.0213
vermis,0.0038
version,-0.0314
versus,-0.0129
vi,-0.0093
video,0.0031
video clips,0.0061
videos,0.0115
view,-0.0153
viewed,-0.0186
viewing,-0.0327
violations,0.0471
virtual,-0.004
vision,-0.0495
visual,-0.0992
visual attention,-0.0086
visual auditory,-0.0313
visual cortex,-0.061
visual cortices,-0.0428
visual field,-0.0299
visual information,-0.0475
visual motion,-0.0622
visual perception,-0.0217
visual stimuli,-0.0558
visual stimulus,-0.0003
visual stream,-0.0629
visual word,-0.0768
visually,-0.0769
visually presented,-0.0871
visuo,-0.051
visuo spatial,-0.019
visuomotor,-0.0326
visuospatial,-0.0565
vivo,0.0233
vlpfc,0.0149
vmpfc,0.0842
vocal,-0.0011
voice,0.0374
volume,0.0462
volumes,0.0427
volumetric,0.029
voluntary,0.0271
volunteers,-0.0641
voxel,0.0384
voxel morphometry,0.0298
voxel wise,0.0404
voxels,-0.0066
voxelwise,0.0277
vs,0.005
vulnerability,0.0442
watched,-0.0252
watching,0.0045
way,0.0219
ways,0.0516
weak,0.0198
weaker,0.0761
week,0.0182
weeks,0.005
weight,0.0391
weighted,-0.0061
whilst,-0.0479
white,0.0274
white matter,0.0326
wide,0.0027
widely,0.0124
widespread,0.0094
wiley,0.0181
wiley periodicals,0.0176
window,-0.0001
wise,0.0375
wm,-0.0685
wm task,-0.0487
women,0.0109
word,-0.0589
word form,-0.078
word pairs,0.0317
word recognition,-0.0383
words,-0.0642
work,0.0437
working,-0.0957
working memory,-0.0982
world,0.0759
worse,0.0708
written,-0.0445
year,0.0065
year old,0.0131
years,0.0076
years old,0.0579
yield,-0.0277
yielded,-0.0298
young,0.0347
young adults,0.0343
young healthy,-0.0303
young older,0.0057
younger,0.0234
younger adults,0.0125
youth,0.0082
zone,-0.001
