Feature,../../data/brains/braindiff_ad_mni.nii.gz
targeted,0.0447
targets,-0.0033
task,-0.0699
task conditions,-0.0448
task demands,-0.0433
task difficulty,-0.0362
task functional,0.0096
task induced,0.117
task involving,-0.0131
task irrelevant,-0.0592
task performance,-0.0354
task positive,0.0594
task relevant,-0.0728
task required,-0.0131
task task,-0.0156
task using,-0.0776
tasks,-0.1016
taste,-0.0305
td,-0.0015
technique,0.0503
techniques,-0.0142
tegmental,-0.0263
temporal,-0.0326
temporal cortex,-0.0897
temporal cortices,-0.0025
temporal frontal,-0.0265
temporal gyri,-0.0187
temporal gyrus,-0.0151
temporal inferior,-0.0458
temporal lobe,-0.0394
temporal lobes,-0.0092
temporal occipital,-0.0442
temporal parietal,0.0357
temporal pole,0.028
temporal sulcus,-0.009
temporale,-0.0248
temporally,0.0577
temporo,0.0902
temporo parietal,0.1169
temporoparietal,0.1433
temporoparietal junction,0.1418
tend,0.0033
tendency,0.027
tensor,-0.0321
tensor dti,-0.0248
term,-0.0664
term memory,-0.0916
terms,0.0174
tesla,0.0328
test,-0.0277
tested,-0.0341
testing,0.0303
tests,-0.0206
thalamic,0.0267
thalamus,-0.003
theoretical,0.0147
theories,-0.03
theory,0.1739
theory mind,0.187
therapeutic,0.002
therapy,0.0142
thickness,0.0358
thinking,0.1053
thirteen,0.0184
thirty,0.0557
thought,0.0265
thoughts,0.1241
threat,0.0051
threatening,0.0034
threshold,-0.039
time,0.0692
time course,0.0347
time courses,0.0739
time points,0.0121
time series,0.0404
time task,0.0145
times,-0.0084
timing,-0.0318
tissue,-0.0277
tms,-0.0268
tom,0.1679
tomography,0.025
tomography pet,-0.0278
tone,-0.0209
tones,-0.0111
took,0.0171
tool,0.0019
tools,-0.0367
total,0.0033
touch,0.0143
tpj,0.1425
track,0.0234
tracking,-0.0017
tract,-0.0278
tractography,-0.0435
tracts,-0.0353
traditional,-0.0012
traditionally,0.0032
trained,-0.027
training,-0.0097
trait,0.0859
traits,0.0702
trajectories,0.0174
transcranial,-0.006
transcranial magnetic,-0.0159
transfer,0.0069
transformation,0.0036
transient,-0.012
transition,0.0001
trauma,0.0433
traumatic,0.0065
treated,-0.0109
treatment,0.0569
treatments,0.0101
trend,0.0611
trial,0.0123
trial trial,0.0428
trials,-0.0188
trigger,-0.0169
triggered,-0.0204
true,0.0178
turn,0.0017
twice,0.0122
type,0.0058
types,-0.0163
typical,0.0105
typically,0.027
typically developing,0.0281
unaffected,0.0226
uncertain,-0.0082
uncertainty,0.0346
unclear,0.0071
undergoing,0.0117
undergoing functional,0.0105
underlie,-0.0106
underlies,0.003
underlying,0.0382
underlying mechanisms,0.0173
underpinning,-0.0427
underpinnings,0.0659
understand,0.0748
understanding,0.0972
understood,0.0238
unexpected,-0.0003
unfamiliar,-0.046
unilateral,0.0062
unimodal,-0.0218
unique,-0.0183
uniquely,0.0115
univariate,-0.0041
unknown,-0.0026
unlike,-0.0271
unmedicated,-0.0051
unpleasant,-0.0271
unrelated,0.0133
upcoming,0.0026
updating,-0.0463
upper,-0.0016
use,0.03
use functional,-0.0149
useful,0.0443
users,0.0064
uses,0.0073
using,0.0025
using event,-0.0413
using functional,-0.0541
using resting,0.0989
using voxel,-0.0094
usually,-0.0038
utility,0.0431
utilized,-0.0247
v1,-0.0288
v5,-0.0292
valence,0.0061
valid,0.023
validated,0.0494
validity,-0.0156
valuable,0.0354
value,0.0423
values,0.0662
variability,0.0204
variable,0.0356
variables,0.0326
variance,0.0259
variant,-0.0335
variation,-0.0218
variations,-0.0139
varied,0.0002
varies,0.0111
variety,-0.0129
various,0.0038
vary,-0.008
varying,-0.0225
vbm,-0.0184
vector,-0.0055
ventral,-0.0515
ventral anterior,0.0499
ventral dorsal,-0.0448
ventral medial,0.0939
ventral premotor,-0.0287
ventral striatum,0.0147
ventral tegmental,-0.0222
ventral visual,-0.0821
ventrolateral,-0.0689
ventrolateral prefrontal,-0.0488
ventromedial,0.091
ventromedial prefrontal,0.0951
verb,-0.0632
verbal,-0.1139
verbal fluency,-0.0376
verbal working,-0.0761
verbs,-0.0663
vermis,-0.0255
version,-0.046
versus,-0.0099
vi,-0.0424
video,0.0076
video clips,-0.007
videos,0.0137
view,0.0032
viewed,0.0044
viewing,-0.0315
violations,0.0427
virtual,-0.0419
vision,-0.0289
visual,-0.0739
visual attention,0.0108
visual auditory,-0.0425
visual cortex,-0.0401
visual cortices,-0.0166
visual field,0.0006
visual information,-0.039
visual motion,-0.0462
visual perception,0.0114
visual stimuli,-0.0581
visual stimulus,-0.0138
visual stream,-0.0487
visual word,-0.1149
visually,-0.0305
visually presented,-0.0848
visuo,-0.0322
visuo spatial,-0.0171
visuomotor,0.0263
visuospatial,-0.0172
vivo,0.0067
vlpfc,-0.004
vmpfc,0.0861
vocal,-0.0011
voice,-0.0188
volume,-0.0017
volumes,0.0123
volumetric,-0.0075
voluntary,0.0566
volunteers,-0.0428
voxel,0.0067
voxel morphometry,-0.0005
voxel wise,0.0361
voxels,0.0107
voxelwise,0.042
vs,-0.0026
vulnerability,0.0123
watched,-0.0288
watching,0.015
way,0.0147
ways,0.0523
weak,0.0222
weaker,0.0657
week,0.015
weeks,0.0061
weight,0.0241
weighted,-0.0268
whilst,-0.0328
white,-0.0246
white matter,-0.019
wide,0.0277
widely,0.0223
widespread,0.0021
wiley,0.0373
wiley periodicals,0.0403
window,0.014
wise,0.0306
wm,-0.0764
wm task,-0.0382
women,0.0046
word,-0.1052
word form,-0.1146
word pairs,0.0003
word recognition,-0.0784
words,-0.1179
work,0.0348
working,-0.0995
working memory,-0.1024
world,0.0459
worse,0.0495
written,-0.0809
year,-0.0308
year old,-0.0244
years,-0.0065
years old,0.0433
yield,-0.0327
yielded,0.0001
young,-0.0024
young adults,0.0087
young healthy,-0.0166
young older,0.0046
younger,0.0223
younger adults,0.0086
youth,-0.003
zone,0.0157
